ATA,DESCRIPCION,TIPO,BARRIO,CP,SENTIDO,CARRILES,LIMITE,COMENTARIO
A204,puerto avenida del,primaria,el pla del real,46021,1,5,50,avenida
A212,ramon llul,terciaria,algiros,46021,2,6,50,calle larga
A213,la reina,terciaria,poblados maritimos,46011,1,2,30,calle larga
A215,la reina,terciaria,poblados maritimos,46011,1,2,30,calle larga
A217,ruzafa,residencial,l eixample,46004,1,2,30,calle pequeña
A218,ruzafa s sua maestro aguilar,terciaria,l eixample,46004,1,2,30,calle pequeña
A219,safor la,secundaria,benicalap,46015,2,8,50,calle larga
A17,almassora,terciaria,la saidia,46010,2,5,50,calle larga
A171,padre ferris,terciaria,campanar,46009,1,2,50,calle larga
A183,pedro aleixandre,residencial,quatre carreres,46006,1,1,30,calle pequeña
A198,primado reig,primaria,rascanya,46019,2,7,50,avenida
A209,quart,residencial,ciutat vella,46001,1,1,30,calle pequeña
A21,avenida antic regne,primaria,l eixample,46005,2,3,50,avenida
A211,ramon llul,terciaria,algiros,46021,2,6,50,calle larga
A214,la reina,terciaria,poblados maritimos,46011,1,2,30,calle larga
A216,roger de lauria,residencial,ciutat vella,46002,1,2,30,calle pequeña
A233,serreria,primaria,camins al grau,46022,2,6,50,calle larga
A26,archiduque carlos,secundaria,patraix,46018,2,6,50,calle larga
A287,acceso barcelona (paso inferior)[entre v-21 y av cataluña],salida,algiros,46021,2,4,50,salida
A3,av cataluña [de rotonda a primador reig],salida,algiros,46021,1,4,50,salida
A347,castan tobeñas,terciaria,l olivereta,46018,1,2,30,calle pequeña
A363,general aviles,primaria,campanar,46015,2,8,50,avenida
A365,maestro rodrigo,primaria,campanar,46015,2,7,50,calle larga
A367,juan xxiii,secundaria,benicalap,46025,2,7,50,avenida
A369,paseo alameda,secundaria,camins al grau,46023,2,7,50,calle larga
A371,bulevar sur,primaria,jesus,46017,2,9,50,avenida
A373,acceso sur (n-332),salida,quatre carreres,46006,2,6,50,salida
A374,bulevar sur,primaria,jesus,46017,2,9,50,avenida
A375,bulevar sur,primaria,jesus,46017,2,9,50,avenida
A394,salida-valencia por alfahuir,salida,rascanya,46019,1,3,50,salida
A392,entrada-valencia por alfahuir,entrada,rascanya,46019,1,3,50,entrada
A33,avenida aragon,primaria,el pla del real,46010,2,8,50,avenida
A345,puente exposicion (calatrava),terciaria,l eixample,46004,1,3,50,puente
A359,jose m haro,residencial,algiros,46022,2,4,30,calle pequeña
A36,avenida burjassot,secundaria,campanar,46009,2,4,30,calle pequeña
A376,ronda norte,primaria,rascanya,46019,2,6,50,calle larga
A396,c pintor maella,terciaria,camins al grau,46023,2,6,50,calle larga
B104,tenerife,terciaria,l olivereta,46018,2,2,30,calle pequeña
B106,vicente gallart,residencial,poblados maritimos,46011,1,1,30,calle pequeña
B111,antonio ferrandis,primaria,quatre carreres,46013,2,9,50,avenida
B114,pintor ferrandis,residencial,poblados maritimos,46011,1,1,30,calle pequeña
B29,cura planelles,resdiencial,poblados maritimos,46011,1,1,30,calle pequeña
B4,almirante cadarso,residencial,l eixample,46005,1,1,30,calle pequeña
B52,habana,residencial,l olivereta,46014,2,2,30,calle pequeña
B53,hermanos villalonga,residencial,benimaclet,46020,1,1,30,calle pequeña
B51,gregorio mayans,residencial,l eixample,46005,2,2,30,calle pequeña
B54,historiador coloma,residencial,poblados maritimos,46011,1,1,30,calle pequeña
B63,jose grollo,residencial,benicalap,46025,1,1,30,calle pequeña
B64,jose maestre,residencial,l olivereta,46018,2,2,30,calle pequeña
B7,andreu alabarta,residencial,patraix,46014,1,1,30,calle pequeña
B79,pedro iii,residencial,l eixample,46005,1,1,30,calle pequeña
B82,pintor salvador abril,residencial,l eixample,46005,1,1,30,calle pequeña
B83,pintor vilar,residencial,la saidia,46010,2,2,30,calle pequeña
B84,platero suarez,terciaria,la saidia,46009,2,4,30,calle pequeña
B88,progreso,residencial,poblados maritimos,46011,1,1,30,calle pequeña
B92,ramon duart,residencial,quatre carreres,46013,2,2,30,calle pequeña
